datetime,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude 
10/10/1949 20:30,san marcos,tx,us,cylinder,2700,45 minutes,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,4/27/2004,29.8830556,-97.9411111
10/10/1949 21:00,lackland afb,tx,,light,7200,1-2 hrs,1949 Lackland AFB TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,12/16/2005,29.38421,-98.581082
10/1/1950 11:00,pikeville,ky,us,disk,600,hr,SEVENTY SOME  FLYING DISK OBSERVED IN  1950,4/16/2005,37.4791667,-82.5188889
10/1/1952 3:30,fukuoka (japan),,,disk,1200,about 20 mins,UFO seen by multiple U. S. military personnel; F-86 intercept.,12/7/2006,33.590355,130.401716
10/1/1952 12:00,kansas city,mo,us,disk,90,90 sec.,1952 daylight sighting of multiple discs in formation,10/31/2008,39.0997222,-94.5783333
10/1/1954 19:00,flatwoods,wv,us,circle,60,1 minute,I saw the craft go across the horizon.  It appeared to be on fire I first thought it was a plane going down.  It landed near a farm.,4/12/2013,38.7230556,-80.65
10/15/1936 17:00,eklutna,ak,us,cigar,180,3 minutes.,Two men approached by a cigar-shaped object in the night sky.,2/18/2001,61.4580556,-149.3622222
10/15/1943 11:00,owensboro,ky,us,rectangle,1800,30 mins.,Low-flying silver object seen on a clear day near mid-day.,4/18/2012,37.7741667,-87.1133333
10/15/1949 20:00,baltimore,md,us,cigar,180,2-3 minutes,It was around 8:PM and I was walking homeit was a full moon but something made me lookup there was no noise but an object came in fr,3/4/2008,39.2902778,-76.6125
10/15/1950 15:00,sandy hook/highlands,nj,,triangle,300,5 minutes,Triangles over New York Harbor 1950,10/30/2006,40.443164,-73.989861
10/15/1952 21:00,richland,wa,us,circle,5,5 seconds,Night sighting of seven large luminous UFOs flying in &quot;V&quot; formation,11/21/2010,46.2858333,-119.2833333
10/16/1952,edmonton (southwest of) (canada),ab,ca,cylinder,120,approx. 2 min.,Good evening folks---What I am about to discribe is what I saw back in 1952in an area that is about 75 to 80 miles southwest of the ci,1/17/2004,53.55,-113.5
10/15/1953 14:00,mauriceville,tx,us,disk,300,5 min.,My father was a WWW1 Vet. and loved hunting. The year was round 1953.We lived in a town of 300 people in southeast tex. Dad would take,11/4/2002,30.2033333,-93.8661111
10/15/1954 16:30,blanco,tx,us,other,300,3-5 mins,We saw a silver football motionless in the sky; stopped  looked about 3-5 mins. and resumed the trip.,4/27/2004,30.0977778,-98.4211111
10/15/1954 21:30,manistee,mi,us,circle,8,8 seconds,Saucer shaped moved north to south directly above the street no sound moon was to the east,1/21/2008,44.2444444,-86.3241667
10/31/1953 19:00,new orleans,la,us,oval,2,seconds,20+ ovals flying over New Orleans,9/2/2005,29.9544444,-90.075
1/10/1947 20:00,conroe,tx,us,other,4,3 to4 sec.,The date was early 1947 before Arnold&#39s &quot;flying saucers&quot;.  I was ten years old ridding in the front seat of our car next to the passan,4/16/2005,30.3116667,-95.4558333
11/11/1906 0:00,wien (austria),,,other,10800,3 h,The oldest professional photo of a UFO object is from Wien observatory in 1906&#33,12/23/2002,48.208174,16.373819
11/1/1954 18:30,denver,co,us,fireball,10,10 seconds,I was approximately 12 years old when I saw this UFO.  I haven&#39t told a lot of people about it.  I thought because I was so young at th,8/5/2001,39.7391667,-104.9841667
11/13/1953 20:00,cicero,il,us,other,120,2 minutes,Triangular formation passing over head just west of Chicago Illinois.,1/21/2008,41.8455556,-87.7538889
11/14/1954 1:00,thelma (south of),tx,us,disk,300,5 minutes,11/14/1954   WHILE HUNTING OBJECT CIRCLED LANDED AND THEN TOOK OFF STRAIGHT OUT OF SIGHT.,9/2/2005,31.5830556,-96.6108333
11/15/1951 6:00,holloman afb,nm,,circle,10,10sec,What I saw was reported in the Albuquerque newspaper as a &quot;green fireball&quot;.  It streaked across the proving grounds at a very low eleva,3/21/2003,32.8525,-106.106389
11/15/1953 3:00,keansburg,nj,us,circle,540,9 minutes,In November 1953 at 0300 a silvery sphere moves slowly overhead changes direction and disappears over the horizon.,8/12/2001,40.4416667,-74.1302778
1/1/1944 12:00,san diego,ca,us,cigar,180,3 minutes,A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east,7/25/2004,32.7152778,-117.1563889
1/1/1947 17:00,manama (bahrain),,,circle,300,5 minutes,Slow  moving circular craft 15 whitnesses took 5 mins to pass could be touched.,3/19/2009,26.216667,50.583333
1/1/1953 14:00,oklahoma/texas border,tx,,cigar,300,5 minutes,Copper cigar-shaped object in early 1950&#39s.,3/31/2008,33.660135,-97.715556
1/2/1953,nebraska (rural),ne,,,600,10 min,This is an account told to me by my mother that happened in the early 50&#39s. I was 4-5 years old and don&#39t remember. She said we were tr,4/16/2005,41.492537,-99.901813
1/1/1954 22:00,souix city,ia,,circle,30,30 seconds,1954 Radar sighting Air Force base in Iowa - 50000 - 80000 feet 1200 - 1800 miles per hour.,4/16/2005,42.499994,-96.400307
11/21/1953 22:30,pendleton (2-2 1/2 mi. se of),in,us,disk,180,2 1/2- 3 min.,On a moonless star-lit night  greenish-orange light moves rapidly and silently  about the dark sky while being pursued by a jet.,11/8/2003,39.9975,-85.7466667
11/25/1953 4:25,lackland air force base near aviation cadet barracks,tx,,disk,180,3 minutes,When I was in preflight for pilot training at Lackland AFB just before Xmas we were standing in formation for reveille we all saw a sau,12/2/2000,31.968599,-99.901813
1/15/1947 10:00,yokahama (japan),,,disk,1800,30 minutes,The Flying Object over Yocohama Japan after WWII in 1947,2/14/2006,35.443708,139.638026
1/18/1943 7:15,fiji islands (s. pacific ocean),,,,10,10 sec.,Crew contingents of 2 USN vessels see reconnaissance plane fly into something invisible to witnesses.,8/11/2004,-18,178
1/20/1951 4:30,palm springs,ca,us,cigar,3,one and a half hours,01/20/51     Palm Springs CA     light     hour and a half     bluish-white light of worm-like shape        04/09/06,5/15/2006,33.8302778,-116.5444444
12/1/1951 19:00,crewe (uk/england),,gb,cigar,15,15seconds,This was in the city I caught a movement over my shoulder and saw a very low black object going north.  It appeared to be floating and,3/19/2002,53.1,-2.433333
12/12/1950 22:00,half moon bay,ca,us,other,600,10 minutes,3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.,6/12/2008,37.4636111,-122.4275
12/15/1954 23:10,red bank,nj,us,circle,300,3-5 min.,Bright orange light about the size of a pea at arms length moving slowly from the west to NE.  I was a soldier stationed at Ft. Monm,8/19/2000,40.3469444,-74.0647222
12/16/1954 16:50,yucaipa,ca,us,oval,70,1:10,Luminous oval over Yucaipa similar object reported by L.A. newspapers over Inyokern Air Base,11/28/2007,34.0336111,-117.0422222
1/2/1950 0:00,new york city,ny,us,oval,900,15min,good and true info. 500 Lights On Object0: Yes,4/27/2007,40.7141667,-74.0063889
12/24/1947 21:00,whitmore lake,mi,us,cigar,1200,20 min.,Dec. 24 1947 cigar shaped lighted object above the trees near Ann Arbor Michigan,6/12/2008,42.4394444,-83.7438889
12/30/1952 12:00,camp mccoy (enroute to),wi,,cylinder,1800,30 minutes,1951-2 winter sighting,1/10/2009,44.009855,-90.683212
12/6/1952 19:00,chicago,il,us,other,45,45 sec.,Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second.,2/18/2001,41.85,-87.65
2/10/1952 21:00,binghamton,ny,us,disk,900,10-15 minutes,1952 UFO  disk outside Binghamton NY  Girls&#39 Club stops for a look at teenage females,4/16/2005,42.0986111,-75.9183333
2/1/1954 2:00,fairbanks,ak,us,unknown,1140,19 min.,RADAR INTERCEPT OF UFO BY USAF PILOT IN ALASKA 1954.,1/10/2009,64.8377778,-147.7163889
2/15/1951 11:00,los angeles,ca,us,disk,2700,45min.,I was only 8yrs old but I remember it clearly. While at my grandmother&#39s house my mother sent me to our car to get a sweater for her.,4/9/2004,34.0522222,-118.2427778
2/15/1954 19:30,burney,ca,us,disk,1800,15-30 minute,Observance of one large and two smaller UFOs in a comparitive prolonged period of time.,4/18/2014,40.8825,-121.6597222
2/17/1952 18:00,nellis afb (las vegas),nv,,disk,1800,30 mins,We are dealing with something very real.,10/27/2004,36.241416,-115.050807
2/20/1947 22:15,syracuse,ny,us,disk,360,one hour +,1947-Chance observation of night sky reveals many UFO&#39s traversing upper atmosphere....,8/16/2002,43.0480556,-76.1477778
2/3/1951 22:00,thompsonville,ct,us,disk,30,30 seconds,A golden-orange glowing bowl flat on top 2 ft in dia hovered overhead for about 30 sec. then was gone in a streak without  a sound,7/25/2004,41.9969444,-72.5994444
3/15/1951 10:30,espanola (canada),on,ca,cigar,15,15 seconds,Large silvery cigar shaped craft was seen by a 10 year old in Northern Ontario Canada in 1951.,2/12/2004,46.25,-81.766667
4/10/1949 15:00,seattle,wa,us,disk,600,ten minutes,UFO Hovers over Seattle sky,4/27/2004,47.6063889,-122.3308333
4/10/1953 13:00,chariton,ia,us,other,600,10 min,&quot; Flying Wing Before It&#39s Time &quot;,6/4/2004,41.0138889,-93.3063889
4/1/1953 15:00,haverhill,ma,us,chevron,2,seconds,Historical account Haverhill MA,9/2/2005,42.7761111,-71.0777778
4/1/1953 18:00,cambridge,ma,us,sphere,180,3 minutes,Two red-orange lights skirted Boston rooftops in opposite directions then went over my dormitory in tandem.,7/14/2013,42.375,-71.1061111
4/1/1954 22:00,stanford campus,ca,,disk,600,10 minutes,Civil Defense plane spotter  reports UFO sighting at Stanford University,7/1/2002,37.427475,-122.169719
4/15/1944 17:00,saanich (canada),bc,,disk,120,2  min est.,THREE DISCS.IN TRIANGULAR FORMATION TRAVELING SW. AT APROX. 30 DEG.HORIZON FASTER THAN PROP.AIRCRAFT.THE DAY WAS CLEAR AND THE TIME WAS,8/1/2003,48.459263,-123.376722
4/15/1947 14:00,miami (north of),fl,us,other,420,5-7 min,A GLOWING METALLIC OBJECT OF HUGE SIZE OVER THE ATLANTIC HEADING NORTH BEFORE ROSWELL.,1/10/2009,25.7738889,-80.1938889
4/15/1947 23:00,san deigo,ca,,triangle,10,10 &#44seconds,The craft was V shaped with an arodinamic  body the thrust was in the form of the spectrum.,7/25/2004,32.715738,-117.161084
4/15/1950 8:00,arkansas (eastern; on us hwy 70 abt 75 m w/o memphis&#44 tn),ar,,disk,180,1-3 minutes,Disk shaped unmoving over highway for 1-3 minutes in eastern Arkansas est. size about 200 feet.,12/16/2005,35.20105,-91.831833
4/15/1950 14:00,waynesborough,va,,disk,300,5 minutes,Fishburne Military School:  9 students witness saucer-shaped object from ROTC Drill Field in 1950.,11/19/2012,38.068469,-78.889468
4/15/1952 13:00,chicago,il,us,disk,2700,approx: 45 minutes,HBCCUFO CANADIAN REPORT:  1952 metallic silver round or saucer shape object.,7/23/2003,41.85,-87.65
4/15/1952 16:00,greenville,tx,us,triangle,120,1-2 minutes,-SAW TWO SMALL 3-4 FOOT TRIANGULAR SHAPED DULL METALIC OBJECTS BELOW THE CLOUDS MOVING IN A SYNCRONIZED MANNER  ROLLING END OVER END AN,8/4/2003,33.1383333,-96.1105556
4/15/1953 12:00,los angeles,ca,us,fireball,5,5 seconds,Green fireball traveling north at a low altitude over Los Angeles,12/14/2004,34.0522222,-118.2427778
4/15/1953 16:00,midwest city,ok,us,fireball,900,15 min,Ball of yellow light with dancing spikes of light around the circumference-one of the spikes reached out to  me.,4/27/2004,35.4494444,-97.3963889
4/2/1944 11:00,clovis,nm,us,disk,90,1:30,Saw UFO in 1944 over an airbase in New Mexico not very far from Roswell.,4/16/2005,34.4047222,-103.2047222
4/30/1943 23:00,bering sea,ak,,other,3600,1 hour,1943 sighting of four linearly arranged red lights in Bearing Sea,3/19/2009,59.670367,-139.859082
4/30/1953 16:00,jamison,pa,us,cigar,120,several minutes,In the spring of 1953 my mother &amp; I saw an IMMENSE silent grey metallic cigar shaped object moving from Doylestown toward Jamison.,12/23/2002,40.2547222,-75.0897222
5/1/1949 14:00,oak ridge (drive),wv,us,other,40,40seconds,log shape whooshing object observed near charleston w.v.,3/19/2002,38.075,-81.1097222
5/15/1949 6:30,grays,sc,us,light,300,2-5 min.,I am not sure of the exact date or time of this event but it took place in the early morning hours somtime in the late 40&#39s to early 50,10/31/2003,32.6736111,-81.0205556
5/15/1952 20:00,allyn,wa,us,disk,10800,3 hrs.,Close encounter involving physical examination in unknown craft.,8/16/2002,47.3858333,-122.8263889
5/15/1953 16:00,toronto (canada),on,ca,disk,30,20-30 sec,3 discs in formation flipping into clouds and descending  out of them.,12/19/2003,43.666667,-79.416667
5/15/1954 12:00,corvallis (near; small town of alsea),or,us,diamond,120,1-2 mins.,Disc top or bottom to our view following west to east a 4 engine (prop) maybe a Tri Star (three rudders) About 1/2 way across our vi,1/28/1999,44.5647222,-123.2608333
5/26/1954 4:30,quincy (rural),il,us,disk,7,7 seconds,Saucer shaped object with lights and a dome seen near Quincy Il.,12/12/2009,39.9355556,-91.4097222
6/10/1949 21:00,anchorage,ak,us,disk,180,3 minutes,Disk encountered operation difficulties and crashed.,4/16/2005,61.2180556,-149.9002778
6/10/1952 12:00,chicago (south suburb),il,us,circle,600,10 minutes,My sighting of two objects in Chicago IL as a pre-teen in the early 50&#39s,5/15/2006,41.85,-87.65
6/10/1954 20:00,estes park,co,us,cigar,300,3-5 minutes,1953  Estes Park Colorado  cigar shaped craft floating above pine trees on a ranch,7/5/2008,40.3772222,-105.5211111
6/11/1953 11:00,vancouver (canada),bc,ca,disk,30,30 seconds,Six year old witness was sitting on front lawn enjoying sun. Opened eyes and turned head to see med grey disklike object hovering over,12/2/2000,49.25,-123.133333
6/11/1954 2:00,glenburn,me,,unknown,2,2- seconds,A FLASH OF METALIC LIGHT REFLECTING OF A OBJECT MOVING AT MY GUESS AT 3-4 000MPH,1/17/2004,44.916862,-68.845746
6/1/1943 15:00,nebraska,ne,,disk,1200,10-20 min,My 94 yr. old grandmother ((deleted)) described to me an encounter that occured in nebraska in about 1943. She was driv,12/2/2000,41.492537,-99.901813
6/1/1943 19:00,norfolk/sizewell (uk/england),,,cigar,600,10 minutes,observing  mans warfare,8/20/2001,36.850769,-76.285873
6/1/1944 12:00,los alamos,nm,us,disk,3600,1+ hour,Disk hovers over Los Alamos during the development of the atomic bombs; pursued by planes.,5/12/2009,35.8880556,-106.3063889
6/1/1944 19:00,penuela (puerto rico),,,circle,60,60 seconds,This happened when I was 8-years old in Penuela Puerto Rico.  Around 7:00 pm I was outside playing alone.  I heard a sound of bees buz,12/12/2009,18.864641,-96.892883
6/1/1947 2:30,cleveland,oh,us,light,300,about three hours,It was about 2:15 in the morning when my wife woke me from a deep sleep and began to complain of stomach problems. As I was getting out,4/28/2001,41.4994444,-81.6955556
6/1/1947 17:00,espanola (outside of),nm,us,circle,300,5 minutes,Saucer shaped object  about  ten feet in diam.,8/30/2013,35.9911111,-106.08
6/1/1947 18:00,oroville,ca,us,,60,1 minute,I was only six but I was playing jacks in front of my home I looked up at the ball and there they were..no noise..I know now they w,12/2/2000,39.5138889,-121.5552778
6/1/1950 12:00,mexicali (mexico),,,disk,60,1 minute,Large disk observed by townspeople in large Mexican city,12/16/2005,32.624539,-115.452262
6/1/1950 16:00,philadelphia,ms,us,disk,600,ten minutes or less,Childhood sighting of disk witnessed by mother and sons.,6/12/2008,32.7713889,-89.1166667
6/1/1950 20:00,pittsburgh,pa,us,oval,1500,20/25 minutes,One larger white object &amp; 2 smaller round white objects.,2/14/2006,40.4405556,-79.9961111
6/1/1951 7:00,brandon (canada),mb,ca,disk,1800,30 minutes,Circular Craft and Man in Black Sighted in Summer of 1951 at Brandon Manitoba Canada,2/18/2001,49.833333,-99.95
6/1/1951 19:00,oklahoma (northeastern part; in-flight sighting),ok,,cigar,300,5 minutes,Observed cigar-shaped object flying next to commercial airliner for 5 minutes pilot commenting on it.,12/16/2005,35.46756,-97.516428
6/1/1952 11:00,dousman,wi,us,,10,10 seconds,Silver monkeys that were about 3-4 feet tall.,3/31/2008,43.0141667,-88.4725
6/1/1952 12:00,linlithgow (west  lothian) (uk/scotland),,gb,circle,120,2 mins.,It was about my lunch time i looked up to see the town clock as i passed almost dircetly overhead i observed a flying disk circular s,12/2/2000,55.889082,-3.569419
6/1/1952 22:00,norfolk/newport news (aboard ferry boat between),va,,fireball,10,10 seconds,Best recall as a SUnday night.  From east side of ferry boat spotted string of brilliant red balls that apeared to be diving into the s,2/16/2000,36.884735,-76.299024
6/1/1953 21:00,fresno,ca,us,,300,5 minutes,i  seem to  be the only one of  my  siblings  to  recall this event.i  do not  understand  why  this  is. 500 Lights On Object0: Ye,3/31/2008,36.7477778,-119.7713889
6/1/1954 0:00,houston,tx,us,disk,180,2-3 minutes,I fulfilled my duty by passing on an unusual accourance,6/12/2008,29.7630556,-95.3630556
6/1/1954 6:00,ovid,ny,us,disk,600,10 min.,I saw two silver/gray objects of different shapes.,12/5/2001,42.6763889,-76.8233333
6/1/1954 8:00,springfield (rural area near),il,us,cylinder,600,5-10 mins.,This happened many years ago when I was a child.  Object 3&#39 long crystal type cylinder pinkish color came in fast from the East and,12/2/2000,39.8016667,-89.6436111
6/1/1954 19:00,el cerrito,ca,us,light,300,5 minutes,It was a Sunday evening and must have been in November of Decemberme to Berkeley because it was dark and I needed to be in Berkeley for,8/5/2001,37.9158333,-122.3105556
6/1/1954 19:00,toledo,oh,us,disk,60,one minutue,SEE ABOVE,8/5/2001,41.6638889,-83.5552778
6/1/1954 20:00,norfolk/nob,va,,disk,15,10 -15 seconds,bright white like full moons slightly tilted crossed over our ship from west to east not at high rate of speed  clear night  none of t,11/23/1999,38.393797,-78.129907
6/1/1954 20:00,philadelphia,pa,us,disk,2,seconds,They Are Our Brothers,12/2/2000,39.9522222,-75.1641667
6/1/1954 23:00,fish canyon,ca,,light,60,1 minute,Helix flight pattern at zenith,6/2/1998,34.157229,-117.923952
6/12/1950 10:30,budapest (hungary),,,circle,60,1min,The &#39object&#39 made an extremely high speed turn which would be impossible with our traditional thechnology even today.,1/31/2004,47.497912,19.040235
6/13/1947 20:18,oakmont,pa,us,unknown,600,approx.10 min.,a very brillant blue-white object coming towards us lowering above us and hovering over us a few minutes before shooting straight up,3/2/2004,40.5216667,-79.8425
6/13/1952 7:30,fortville (2-3 mi. n. of&#44 state road 13),in,,disk,20,18-20 sec.,3 saucer-shaped objects flying fast (with wobbling motion) from N. to S. at a medium-high altitude--no sound no trails only silence.,11/8/2003,39.932263,-85.848035
6/15/1947 10:00,winona (aprox.20 mi.north west of),mn,us,disk,15,15 sec,2 unmoving round objets side my side like eyes streight overhead above the fiew clouds that drifted under them.,4/2/1999,44.05,-91.6391667
6/15/1947 14:00,gackle,nd,us,other,3600,aprox. 1 hour,Alien hawk sighted in North Dakota,12/3/2004,46.6258333,-99.1416667
6/15/1947 18:00,madison,wi,us,disk,180,2-3 min.,Three  disks appear in the West stop at zenith and proceed Eastward a rapid rate of speed.,3/19/2002,43.0730556,-89.4011111
6/15/1950 13:00,grosse pointe park,mi,us,oval,600,10 minutes,1951-52  Grosse Pointe MI. Three saucer shaped objects entering into a large oval shapped object.,11/28/2007,42.3758333,-82.9375
6/15/1950 20:00,bonifay (near),fl,us,disk,10,10 seconds,The objects were discs white and I estimate were moving around 100 mph in a southerly direction.,1/12/2012,30.7916667,-85.6797222
6/15/1951 20:30,greenville,ms,us,disk,300,5 minutes,Sighting of white lights in evening sky west of Greenville MS circa 1951.,2/14/2006,33.41,-91.0616667
6/15/1952 21:00,jacksonville,fl,us,triangle,30,30 seconds,extremely fast triangle shape object with one light on rear comes to a sudden stop then seems to shoot out of sight,9/13/2002,30.3319444,-81.6558333
6/15/1952 23:00,maywood,ca,us,circle,300,3 to 5 minutes,7 balls of *orange moon* lights in 2 V formations observed for 3 to 5 minutes until all sped off in 7 differen directions,6/9/2009,33.9866667,-118.1844444
6/15/1953 12:00,wenatchee,wa,us,disk,45,45 seconds,round silver-colored shiny saucer-shaped object flew at a high rate of speed horizon to horizon - taking about 45 seconds,1/17/2004,47.4236111,-120.3091667
6/15/1953 18:00,north bend,wa,us,circle,120,2 minutes,My cousin and I who were children at the time watched a round smooth silent object which had a pinkish glow come across his field f,9/26/1998,47.4958333,-121.7855556
6/15/1954 11:45,claymont,de,us,disk,10,10 secs,It was just before noon on a warm sunny  June day I was 16 yrs old. Riding in the car with my brother-inlaw driving my sister riding,11/8/2003,39.8005556,-75.46
6/15/1954 16:30,ellington afb,tx,,disk,720,12 min.,Radar site-200mi range @Ellington AFB-Radar op observed an unidentified object  coming in from NW at a high rate of speed-Abt 8 of us w,2/14/2006,29.6007,-95.176952
6/17/1953 7:30,galveston,tx,us,cigar,180,3 minutes,It had been my habit before I opened my place of business each morning to do my early morning fishing. This one particular morning I ha,8/5/2001,29.3011111,-94.7975
6/20/1947 12:00,hayward,ca,us,circle,1800,30 minutes,We where very close to five bright gold saucers for approx. twenty minutes.,9/9/2013,37.6688889,-122.0797222
6/20/1950 10:00,booneville,ms,us,disk,4,4 sec,Youngster observes shiny disc-shaped craft,7/23/2000,34.6580556,-88.5666667
6/20/1950 17:00,galveston,tx,us,sphere,600,5 to 10 minutes,Large orange-red  lowering &quot;Moon&quot; object,10/30/2006,29.3011111,-94.7975
6/21/1952 22:00,lansing (few miles northwest of&#44 in the country),mi,us,other,2,sew seconds,It was like a star that moved it was 1952 before there was any space traffic or objects and was not an aircraft.,1/17/2004,42.7325,-84.5555556
6/22/1952 17:45,chester,pa,us,oval,300,5 min.,My parents &amp; I &amp; my brother were walking to a resturant &amp; we saw 4 flying objects flying in formation.  My father called out to two wom,3/17/2004,39.8494444,-75.3561111
6/23/1954 2:00,lorton,va,us,other,120,minutes,My Mother heard what she believed was a UFO.,11/8/2003,38.7041667,-77.2280556
6/23/1954 23:00,langley air force base,va,,circle,1800,30 minutes,Object appearing larger than a full moon hovering over hangers moved at varying speeds and made 90 and 180-degree turns.,3/16/2000,37.083507,-76.359224
